description,carb,fat,energy,protein,country,serving_type,queries
"['Potato chips, baked, plain', 'Water, bottled, unsweetened']",19.99,5.1,131.32,1.4,USA,metric,"For my snack, I’m enjoying 28 grams of baked potato chips and a 507-gram bottle of water."
"['Cookie, molasses']",33.21,5.76,193.5,2.52,USA,metric,"For a snack, I grabbed a 45-gram cookie made with molasses."
"['Chocolate milk, ready to drink, reduced sugar, NS as to milk', 'Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on white bread', 'Apple, raw']",71.99000000000001,12.18,448.64,15.48,USA,metric,"For lunch, I'm having 248 grams of reduced sugar chocolate milk, a peanut butter and jelly sandwich on white bread weighing 56 grams, and a raw apple that weighs 200 grams."
"['Ice cream, vanilla, with additional ingredients', 'Potato chips, plain']",57.78,25.97,487.76,6.93,USA,metric,"For a snack, I have 140 grams of vanilla ice cream with some extra ingredients and 28 grams of plain potato chips."
"['Pizza, cheese, with fruit, medium crust', 'Pizza, cheese, with vegetables, from restaurant or fast food, medium crust']",60.47,16.869999999999997,472.74,19.97,USA,metric,Lunch today consists of 100 grams of medium crust cheese pizza with fruit and 97 grams of medium crust cheese pizza with vegetables.
"['Coffee, brewed', 'Sugar substitute, aspartame, powder', 'Soft drink, cola, diet', 'Cream, half and half']",2.5700000000000003,1.88,32.9,1.18,USA,metric,"For a snack, I'm having 240 grams of brewed coffee with a gram of aspartame and a diet cola that weighs 360 grams. I also added 15 grams of half and half cream."
['Oatmeal beverage with water'],26.31,0.37,106.64,0.62,USA,metric,I’ve got a drink made from 248 grams of oatmeal and water for breakfast.
"['Fruit smoothie, with whole fruit, no dairy']",70.79,1.46,286.2,3.46,USA,metric,"I’ve got a 540-gram fruit smoothie for breakfast, made from whole fruits and completely dairy-free."
"['Peanuts, dry roasted, salted']",10.63,24.83,293.5,12.18,USA,metric,"For a snack, I'm having 50 grams of dry roasted salted peanuts."
"['Snack bar, oatmeal', 'Banana, raw']",74.06,4.42,345.54,5.37,USA,metric,"For breakfast, I’m enjoying a 60g oatmeal snack bar paired with a 126g banana."
"['Chicken breast, rotisserie, skin eaten', 'Soft drink, cola', 'Spanish rice, from restaurant']",140.07,24.37,937.45,42.25,USA,metric,"My lunch consists of 130 grams of chicken breast, a 620-gram cola, and 243 grams of Spanish rice from the restaurant."
"['Potato chips, barbecue flavored', 'Beer, low carb']",18.29,8.7,233.56,2.43,USA,metric,I have 28 grams of barbecue-flavored potato chips and a 360-gram beer for my snack.
"['Chicken breast, rotisserie, skin not eaten']",0.0,4.28,172.8,33.65,USA,metric,"For breakfast, I'm having 120 grams of rotisserie chicken breast without the skin."
"['Rice, white, cooked, glutinous']",36.49,0.33,167.04,3.5,USA,metric,"For lunch, I'm having 174 grams of cooked glutinous white rice."
"['Coffee, instant, reconstituted', 'Tea, hot, leaf, green']",1.51,0.0,9.6,0.77,USA,metric,I'm sipping on 240 grams of instant coffee and 240 grams of hot green tea for my snack.
['Churros'],21.99,9.99,188.55,2.72,USA,metric,I decided to snack on 45 grams of churros.
"['Salisbury steak dinner, NFS, frozen meal']",34.13,26.02,452.4,21.28,USA,metric,"I'm going to have a frozen Salisbury steak dinner for lunch, and it’s 312 grams."
"['Pasta with tomato-based sauce and meat, home recipe']",47.88,6.45,307.5,14.65,USA,metric,Dinner tonight is 250 grams of pasta with a tomato sauce and meat that I made myself.
"[""Cereal or granola bar (Kellogg's Special K bar)""]",16.73,2.09,94.07,2.09,USA,metric,I grabbed a 23g cereal bar from Kellogg's Special K for a quick snack.
"['Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar)', 'Water, bottled, unsweetened']",13.52,4.16,98.91,2.12,USA,metric,I’ve got a 21g granola bar from Nature Valley and 507g of bottled unsweetened water for breakfast.
"['Ice cream sandwich, vanilla', 'Cookie, oatmeal, with raisins']",47.519999999999996,14.28,333.0,5.07,USA,metric,"For a snack, I'm having a 75-gram vanilla ice cream sandwich and a 30-gram oatmeal cookie with raisins."
"['Chicken or turkey noodle soup, canned or ready-to-serve', 'Orange juice, 100%, with calcium added, canned, bottled or in a carton']",30.299999999999997,4.300000000000001,185.96,7.22,USA,metric,"For lunch, I warmed up 532 grams of chicken noodle soup and drank 124 grams of orange juice."
"['Cereal or Granola bar, NFS']",27.69,8.51,202.53,4.34,USA,metric,I'm enjoying a 43g granola bar as a snack.
['Cheeseburger (McDonalds)'],28.01,14.19,297.0,14.84,USA,metric,"I’ll be enjoying a McDonald's cheeseburger for lunch, and it weighs 110 grams."
"['Tea, hot, leaf, green, decaffeinated']",0.0,0.0,0.0,0.0,USA,metric,I'm having 360 grams of decaffeinated green leaf tea for a snack.
"['Water, bottled, unsweetened', 'Fruit juice drink']",18.6,0.0,74.4,0.0,USA,metric,I have a snack with 240 grams of water and 744 grams of a fruit juice drink.
"['Banana, raw', 'Potato chips, barbecue flavored', 'Water, tap']",42.760000000000005,8.18,233.89,3.0,USA,metric,"I’ve got a 126-gram banana, 25 grams of barbecue potato chips, and 240 grams of tap water for my snack."
"['Potato chips, ruffled, sour cream and onion flavored']",15.66,8.7,136.36,1.82,USA,metric,"For my snack, I have 28 grams of those sour cream and onion ruffled potato chips."
"['Cereal or granola bar (Quaker Chewy Granola Bar)', 'Cookie, butter or sugar']",30.32,7.890000000000001,193.12,2.43,USA,metric,"For a snack, I'm having a 24g Quaker Chewy Granola Bar and a 20g butter cookie."
"['Ice cream cone, scooped, chocolate', 'Fruit snacks candy, with high vitamin C']",60.66,13.55,371.52,4.9799999999999995,USA,metric,"For a snack, I'm having a 125g chocolate ice cream cone and 26g of fruit snacks candy."
"['Cake or cupcake, yellow, with icing or filling']",60.34,19.35,413.11,3.44,USA,metric,"I enjoyed a piece of yellow cake with icing as a snack, weighing 109 grams."
"['Pizza with meat other than pepperoni, from restaurant or fast food, medium crust']",42.26,17.04,386.4,15.87,USA,metric,"For lunch, I’m enjoying a 138-gram medium crust pizza topped with various meats besides pepperoni."
"['Cheeseburger, on white bun, 1 medium patty']",30.72,26.75,490.05,29.57,USA,metric,"I'm eating a cheeseburger on a white bun for dinner, and it weighs 165 grams."
"['Corn dog, frankfurter or hot dog with cornbread coating', 'Ketchup', 'Tortilla chips, nacho cheese flavor (Doritos)', 'Fruit cocktail, canned, NFS', 'Potato chips, ruffled, cheese flavored']",77.0,27.07,579.87,12.06,USA,metric,"For a snack, I'm having an 88-gram corn dog with 17 grams of ketchup on the side, along with 28 grams of nacho cheese Doritos and 113 grams of canned fruit cocktail. I also grabbed 28 grams of cheese-flavored ruffled potato chips. And just to mix things up, I added 28 grams of tortilla chips, nacho cheese flavor to the plate!"
"['Egg, whole, boiled or poached']",0.36,4.76,71.5,6.28,USA,metric,"For breakfast, I have a whole boiled egg weighing 50 grams."
"['Chimichanga, meatless']",98.68,32.99,792.0,26.06,USA,metric,"I’m eating a meatless chimichanga for dinner, and it’s 396 grams."
"['Tea, iced, bottled, black']",53.57,1.09,223.2,0.0,USA,metric,"For a snack, I’m drinking 496 grams of bottled iced black tea."
"['Water, bottled, unsweetened', 'Nectarine, raw']",12.85,0.39,54.6,1.48,USA,metric,I’m having a snack with 360 grams of bottled unsweetened water and a raw nectarine that weighs 140 grams.
"['Chicken fillet sandwich, fried, on white bun; with cheese']",40.35,22.35,450.8,21.75,USA,metric,"I'm eating a fried chicken sandwich with cheese on a white bun, and it weighs 161 grams for lunch."
"['Popsicle', 'Bread, Italian, Grecian, Armenian']",24.53,0.97,119.79,2.94,USA,metric,"For a snack, I'm having a 50g Popsicle and 31g of Italian bread."
"['Water, bottled, unsweetened', 'Broccoli, fresh, cooked, no added fat']",10.7,0.59,54.25,4.54,USA,metric,"For lunch today, I’m drinking 600 grams of unsweetened bottled water and eating 155 grams of cooked broccoli."
"['Chewing gum, regular']",3.87,0.01,14.4,0.0,USA,metric,I have 4 grams of regular chewing gum for my snack.
"['Ice cream bar, vanilla']",27.84,18.95,268.5,1.58,USA,metric,"For a snack, I picked up a 75g ice cream bar in vanilla flavor."
"['Roll, white, hot dog bun', 'Ketchup']",27.21,1.78,142.72,4.58,USA,metric,"For dinner, I’m eating a 45-gram white hot dog bun and adding 17 grams of ketchup."
"['Beans and rice, with meat']",40.02,7.21,275.4,12.73,USA,metric,"For lunch, I'm having 170 grams of beans and rice with meat."
"['Orange juice, 100%, with calcium added, canned, bottled or in a carton', 'Muffin, fruit', 'Milk, reduced fat (2%)']",39.2,8.809999999999999,274.03,10.129999999999999,USA,metric,"At breakfast, I have 124 grams of orange juice with calcium, a 25-gram fruit muffin, and 244 grams of 2% reduced fat milk."
"['Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on white bun', 'Sports drink (Powerade)']",54.0,12.33,378.12,11.73,USA,metric,"For dinner, I'm having a plain chicken and turkey hot dog sandwich on a white bun, weighing about 102 grams, along with a Powerade sports drink that weighs 372 grams."
"['Tortilla chips, plain']",20.33,6.2,141.6,2.13,USA,metric,"For dinner, I'm having 30 grams of plain tortilla chips."
"['Tuna salad sandwich, on bread']",32.9,21.17,396.0,17.8,USA,metric,I made a 180g tuna salad sandwich on bread for my lunch.
"['Snack cake, chocolate, with icing or filling']",16.89,4.46,111.72,1.02,USA,metric,"For a snack, I'm enjoying a 28-gram chocolate snack cake with filling."
"['Celery, raw', 'Peanut butter', 'Grapes, raw', 'Carrots, raw']",41.94,8.809999999999999,248.62,6.25,USA,metric,"I’ve got a snack that includes 120 grams of celery with 16 grams of peanut butter, plus 150 grams of grapes and 80 grams of carrots."
"['Peanut butter', 'Apple, raw']",26.36,8.459999999999999,181.32,4.03,USA,metric,I have a snack of 16 grams of peanut butter paired with a 165-gram raw apple.
"['Clementine, raw', 'Orange, raw']",29.44,0.44,117.42999999999999,2.1399999999999997,USA,metric,I’m snacking on an 85-gram raw clementine and a 154-gram raw orange.
"['Biscuit, home recipe', 'Pork bacon, NS as to fresh, smoked or cured, cooked', 'Butter, stick', 'Egg, whole, boiled or poached', 'Pork sausage']",20.98,29.75,427.23,18.57,USA,metric,"For breakfast, I'm having a home recipe biscuit weighing 45 grams, alongside 8 grams of cooked pork bacon, a stick of butter at 7 grams, a boiled egg that weighs 50 grams, and 35 grams of pork sausage."
"['Ice cream, vanilla, with additional ingredients', 'Hard candy']",48.59,16.470000000000002,362.44,5.14,USA,metric,"For my snack, I've got 140 grams of vanilla ice cream with some added flavors and 6 grams of hard candy."
"['Banana, raw', 'Yogurt, low fat milk, fruit']",45.120000000000005,1.97,212.70999999999998,6.64,USA,metric,"For a snack, I'm having a 126-gram raw banana and 113 grams of low-fat fruit yogurt."
"['Light ice cream, vanilla']",30.53,7.37,208.8,5.26,USA,metric,"For a snack, I have 120 grams of light vanilla ice cream."
"['Frankfurter or hot dog sandwich, beef, plain, on wheat bun', 'Chocolate milk, ready to drink, reduced fat']",53.099999999999994,23.130000000000003,497.53999999999996,19.7,USA,metric,"For a snack, I'm having a plain beef hot dog on a wheat bun, which weighs about 102 grams, along with some reduced-fat chocolate milk that weighs 248 grams."
"['Milk, whole', 'Frozen dinner, NFS']",45.52,33.83,598.8,29.28,USA,metric,I'm enjoying a frozen dinner that weighs 312 grams along with 244 grams of whole milk for lunch.
"['Pork chop, broiled or baked, lean only eaten', 'Potato salad, from restaurant']",47.71,35.309999999999995,627.26,29.229999999999997,USA,metric,"For dinner, I'm having a lean broiled pork chop that weighs about 84 grams and a 275-gram serving of potato salad from a restaurant."
"['Cookie, chocolate sandwich']",9.94,2.68,64.96,0.73,USA,metric,"For my snack, I grabbed a 14g chocolate sandwich cookie."
"['Chicken or turkey parmigiana', 'Soft drink, cola', 'Garlic bread, from fast food / restaurant']",84.38,28.29,731.1800000000001,35.75,USA,metric,"I’ve got chicken or turkey parmigiana weighing 182 grams, a soft drink cola at 372 grams, and some garlic bread from a restaurant that’s 74 grams for dinner."
"['Soft drink, fruit flavored, caffeine containing', 'Cheeseburger, on white bun, 1 medium patty']",78.44999999999999,26.75,672.33,29.57,USA,metric,I’ve got a 372-gram fruit-flavored soft drink and a 165-gram cheeseburger for lunch.
"['Orange juice, 100%, canned, bottled or in a carton', 'Pork sausage', 'Egg omelet or scrambled egg, made with butter']",14.959999999999999,13.38,224.76,11.02,USA,metric,"For breakfast, I'm having 124 grams of 100% orange juice, 20 grams of pork sausage, and a 55-gram egg omelet made with butter."
"['Cookie, marshmallow, chocolate-covered', 'Soft drink, cola, diet']",21.09,5.15,131.7,1.5,USA,metric,I enjoyed a 30-gram cookie that’s chocolate-covered and marshmallow-filled along with a diet cola that weighed 270 grams for lunch.
"['Apple, raw', 'Soft drink, ginger ale, diet']",33.42,0.41,125.84,0.99,USA,metric,"Lunch today consists of a raw apple and a diet ginger ale, the apple being 242 grams and the ginger ale at 360 grams."
"['Tea, hot, leaf, black']",1.08,0.0,3.6,0.0,USA,metric,"For a snack, I brewed 360 grams of hot leaf black tea."
"['Spanish rice, no added fat', 'Pompano, baked or broiled, fat added']",48.58,28.55,643.23,45.5,USA,metric,"For lunch, I’m eating 243 grams of Spanish rice and 170 grams of pompano that’s been baked or broiled with some fat."
"['Pineapple, canned, NFS', 'Strawberries, raw']",46.3,0.75,183.0,2.05,USA,metric,I’m snacking on 250 grams of canned pineapple and 150 grams of strawberries.
"['Fruit flavored drink, powdered, reconstituted, diet']",0.22,0.0,0.6,0.0,USA,metric,I prepared a 30g serving of diet fruit flavored drink as a snack.
"['Muffin, fruit', 'Water, bottled, unsweetened']",37.1,11.25,262.5,3.14,USA,metric,I enjoyed a fruit muffin weighing 70 grams along with 240 grams of unsweetened bottled water for lunch.
['Cereal or granola bar (General Mills Fiber One Chewy Bar)'],27.93,4.0,155.6,2.0,USA,metric,I'm grabbing a 40g bar of Fiber One cereal for lunch.
"['Cookie, with peanut butter filling, chocolate-coated', 'Energy drink (Monster)']",78.17,14.83,469.15999999999997,5.73,USA,metric,I started my day with a 42-gram chocolate-coated cookie filled with peanut butter and a 496-gram Monster energy drink.
"['Jelly, all flavors', 'Beef, bacon, cooked', 'Egg, whole, fried with oil', 'Coffee, brewed']",14.45,10.8,192.23000000000002,9.08,USA,metric,"At breakfast, I enjoyed 20 grams of jelly, some cooked bacon (6.5 grams), a fried egg (55 grams), and 480 grams of brewed coffee."
"['Chicken fillet sandwich, from school cafeteria']",27.42,7.42,230.92,13.45,USA,metric,I’ve got a chicken fillet sandwich from the school cafeteria weighing 92 grams for lunch.
"['Plum, raw']",8.56,0.21,34.5,0.52,USA,metric,I'm snacking on a 75-gram plum that's fresh and raw.
"['Doughnut, yeast type, with chocolate icing', 'Fruit juice drink']",53.73,16.26,374.0,3.85,USA,metric,I started my day with a chocolate icing doughnut that weighed 75 grams and a 620-gram fruit juice drink.
"['Oatmeal, instant, plain, made with water, no added fat']",19.46,1.92,100.64,3.34,USA,metric,"For breakfast, I made 148 grams of plain instant oatmeal with water."
"['Cheese, Provolone', 'Ham, prepackaged or deli, luncheon meat', 'Bread, whole wheat, toasted']",16.16,7.92,195.45999999999998,14.510000000000002,USA,metric,"For a snack, I'm having 21 grams of Provolone cheese, 28 grams of deli ham, and 33 grams of toasted whole wheat bread."
"['Soft drink, fruit flavored, caffeine free', 'Chicken breast, sauteed, skin not eaten']",37.72,5.79,333.6,31.290000000000003,USA,metric,I’m enjoying a lunch of 372 grams of caffeine-free fruit-flavored soft drink and 105 grams of sautéed chicken breast without the skin.
"['Coffee, brewed', 'Water, tap', 'Peach, raw', 'Coffee creamer, liquid, flavored', 'Banana, raw', 'Egg and cheese on biscuit']",78.6,34.45,672.8399999999999,17.37,USA,metric,"I made a breakfast with 240 grams of brewed coffee, 240 grams of tap water, a 150-gram raw peach, 30 grams of flavored coffee creamer, a 126-gram banana, and a 140-gram egg and cheese biscuit."
"['Coffee, instant, reconstituted', 'Biscuit, NFS', 'Coffee creamer, liquid']",24.19,11.5,214.5,3.7299999999999995,USA,metric,"For my breakfast, I prepared 240 grams of instant coffee, added 30 grams of coffee creamer, and paired it with a 45-gram biscuit."
"['Banana, raw', 'Apple, raw', 'Potato chips, plain', 'Water, tap']",69.86000000000001,9.25,349.14,3.49,USA,metric,"I had a snack that included a raw banana weighing 126 grams, an apple at 200 grams, 25 grams of plain potato chips, and 240 grams of tap water."
"['Tea, hot, herbal']",0.72,0.0,3.6,0.0,USA,metric,"For a snack, I brewed up some hot herbal tea, weighing 360 grams."
"['Orange, raw', 'Banana, raw']",46.88,0.6,184.51999999999998,2.8200000000000003,USA,metric,I’m eating an orange weighing 154 grams and a banana weighing 126 grams as a snack.
"['Grilled cheese sandwich, American cheese, on white bread', 'Soft drink, pepper type']",71.83,23.23,540.2,12.49,USA,metric,I have a grilled cheese sandwich weighing 116 grams and a 372-gram serving of pepper soft drink for dinner.
"['Pasta with tomato-based sauce, restaurant', 'Water, bottled, unsweetened', 'Corn chips, plain (Fritos)']",71.79,34.93,635.05,11.299999999999999,USA,metric,"I enjoyed a restaurant-style pasta with tomato sauce for lunch, weighing 250 grams, paired with 240 grams of bottled water and 45 grams of Fritos."
"['Snack mix, plain (Chex Mix)', 'Ice cream bar, vanilla, chocolate coated', 'Water, bottled, unsweetened']",63.78999999999999,24.08,505.05,8.379999999999999,USA,metric,"For a snack, I'm having 60 grams of plain Chex Mix, a 75-gram chocolate-coated vanilla ice cream bar, and a bottle of 240 grams of unsweetened water."
"['Cereal (Post Honey Bunches of Oats with Almonds)', 'Milk, reduced fat (2%)']",46.209999999999994,7.779999999999999,297.87,11.48,USA,metric,Dinner was 43 grams of Post Honey Bunches of Oats with Almonds combined with 244 grams of reduced fat milk.
"['Water, bottled, unsweetened', 'Chicken fillet sandwich, fried, on white bun; with cheese']",40.35,22.35,450.8,21.75,USA,metric,"For lunch, I'm having a 161-gram fried chicken fillet sandwich with cheese on a white bun, along with 360 grams of bottled water."
"['Tuna, canned, NS as to oil or water pack', 'Water, bottled, unsweetened']",0.13,1.5,144.0,30.4,USA,metric,"For lunch, I'm having 160 grams of canned tuna and a bottle of 1014 grams of unsweetened water."
"['Pizza with pepperoni, from restaurant or fast food, thin crust']",26.39,16.03,301.21,12.75,USA,metric,"I'm enjoying a thin crust pepperoni pizza for dinner, weighing 91 grams."
"['Sugar substitute, monk fruit, powder', 'Coffee, brewed']",0.5,0.05,2.4,0.29,USA,metric,"This morning, I’m having 240 grams of brewed coffee along with half a gram of monk fruit powder."
"['Carbonated water, unsweetened']",0.0,0.0,0.0,0.0,USA,metric,"For my snack, I poured myself 360 grams of carbonated water without any sweeteners."
"['Fruit juice drink, with high vitamin C', 'Pizza with pepperoni, from restaurant or fast food,  medium crust', 'Hard candy', 'Potato chips, lightly salted']",89.44999999999999,24.89,646.92,16.68,USA,metric,"For lunch, I ate 186 grams of fruit juice drink, a medium pepperoni pizza from fast food that was 124 grams, 14 grams of hard candy, and 28 grams of lightly salted potato chips."
"[""Cake or cupcake, chocolate, devil's food or fudge, with icing or filling""]",39.63,15.04,291.75,2.61,USA,metric,"I have a piece of chocolate fudge cake, about 75 grams, for my snack."
"['Ketchup', 'Potato, french fries, fast food', 'Peanut butter sandwich, with regular peanut butter, on wheat bread']",84.63,34.959999999999994,709.97,17.99,USA,metric,I’ve got a 92g peanut butter sandwich on wheat bread and 110g of french fries with 17g of ketchup to dip them in for lunch.
"['Egg, whole, fried with oil', 'Bread, white, toasted', 'Coffee, brewed']",12.27,9.38,172.79,9.01,USA,metric,"I had a 55-gram fried egg, 22 grams of toasted white bread, and 240 grams of brewed coffee for breakfast."
"['Tea, hot, leaf, green']",0.0,0.0,2.4,0.53,USA,metric,I'm having 240 grams of hot green tea for a snack.
['Hard candy'],5.0,0.01,20.09,0.0,USA,metric,"I grabbed some hard candy for a quick snack, about 5.1 grams."
"['Chicken fillet sandwich, fried, from fast food', 'Fruit juice drink']",45.45,18.84,421.29999999999995,17.04,USA,metric,"For dinner, I'm having a 140-gram fried chicken sandwich and a 279-gram fruit juice drink."
"['Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on white bun', 'Tortilla chips, nacho cheese flavor (Doritos)', 'Apple juice, 100%']",83.12,28.040000000000003,651.05,16.14,USA,metric,"For lunch, I had a hot dog sandwich made with a plain chicken and turkey frankfurter (102.0g) on a white bun, some nacho cheese Doritos (57.0g), and a glass of 100% apple juice (209.0g)."
"['Pan Dulce, with sugar topping', 'Coffee, instant, pre-lightened and pre-sweetened with sugar, reconstituted']",65.08,13.66,412.3,8.489999999999998,USA,metric,I enjoyed 93 grams of sweet Pan Dulce along with 248 grams of my instant coffee for a quick snack.
"['Fruit juice drink', 'Cold cut sumarine sandwich, with cheese, lettuce, tomato and spread']",118.64,52.21,1157.1999999999998,54.7,USA,metric,"For lunch, I'm having a 496-gram fruit juice drink and a 520-gram cold cut submarine sandwich with cheese, lettuce, tomato, and spread."
['Gelatin dessert with fruit'],16.68,0.01,70.0,1.38,USA,metric,I have 125 grams of gelatin dessert with fruit for a quick snack.
"['Orange juice, 100%, with calcium added, canned, bottled or in a carton', 'Waffle, plain, from fast food / restaurant', 'Pancake syrup']",122.24000000000001,35.72,846.6099999999999,12.75,USA,metric,"This morning, I had 248 grams of orange juice, a plain waffle weighing 135 grams, and I drizzled 60 grams of pancake syrup over it."
"['Burrito, taco, or quesadilla with egg and breakfast meat', 'Water, tap']",37.21,32.21,546.12,25.75,USA,metric,"For breakfast, I have a burrito that weighs 222 grams and a 240-gram serving of tap water."
"['Coffee, Latte, decaffeinated', 'Bread, fruit']",40.379999999999995,15.0,355.64,15.979999999999999,USA,metric,"I'm enjoying a snack of fruit bread, which is 41 grams, and a decaf latte that weighs 480 grams."
"['Banana, raw', 'Gelatin dessert']",62.84,0.42,256.14,4.300000000000001,USA,metric,I just grabbed a raw banana weighing 126 grams and a 240-gram serving of gelatin dessert for my snack.
"['Mango, raw', 'Water, bottled, unsweetened']",31.46,0.8,126.0,1.72,USA,metric,I'm snacking on 210 grams of raw mango along with 507 grams of plain bottled water.
['Beef jerky'],1.06,2.46,39.36,3.19,USA,metric,I'm having 9.6 grams of beef jerky for a snack.
"['Chicken fillet sandwich, fried, from fast food', 'Honey mustard dip', 'Ice cream cone, chocolate, prepackaged']",75.15,42.230000000000004,768.8,22.380000000000003,USA,metric,I'm enjoying a 140g fried chicken sandwich with 15g of honey mustard dip and a 95g chocolate ice cream cone for dinner.
['Cereal or granola bar (Quaker Chewy Granola Bar)'],16.85,3.98,100.32,1.36,USA,metric,I grabbed a 24g Quaker Chewy Granola Bar as a quick snack.
"['Ice cream, vanilla', 'Cucumber, raw']",63.9,26.619999999999997,526.8,9.700000000000001,USA,metric,"For a snack, I'm having 240 grams of vanilla ice cream and 200 grams of raw cucumber."
"['Whopper with cheese (Burger King)', 'Soft drink, fruit flavored, caffeine containing', 'Potato, french fries, fast food']",144.73000000000002,62.019999999999996,1302.68,43.470000000000006,USA,metric,"For dinner, I'm having a 290.0g Whopper with cheese from Burger King, along with a 372.0g fruit-flavored soft drink that contains caffeine, and a side of 110.0g fast-food French fries."
"['Pizza with pepperoni, from restaurant or fast food, thin crust', 'Pizza with meat other than pepperoni, from restaurant or fast food, thin crust']",59.61,37.62,694.23,29.14,USA,metric,Tonight's dinner includes a 105g slice of thin crust pizza topped with pepperoni and a 108g slice of thin crust pizza with various meats.
"['Ice cream sandwich, vanilla', 'Peach, raw']",42.06,9.25,261.0,4.57,USA,metric,"For my snack, I’m enjoying a 75g ice cream sandwich and a 150g fresh peach."
"['Fruit smoothie, with whole fruit and dairy']",25.19,2.31,136.08,5.18,USA,metric,"This morning, I’m enjoying a 216-gram fruit smoothie that includes whole fruit and dairy."
['Fruit juice drink (Capri Sun)'],18.6,0.13,72.54,0.0,USA,metric,"I have a Capri Sun fruit juice drink, 186 grams, for my snack."
"['Tea, hot, leaf, green', 'Cookie, butter or sugar']",20.2,5.86,142.79999999999998,2.39,USA,metric,"For my snack, I've got a cup of hot green tea that weighs 360 grams and a 30-gram cookie."
"['Tortilla chips, plain', 'Pasta, cooked', 'Chicken breast, rotisserie, skin not eaten', 'Water, bottled, unsweetened']",63.28,12.31,555.8,48.040000000000006,USA,metric,"I’ve got a lunch of 30 grams of plain tortilla chips, 140 grams of cooked pasta, and 135 grams of rotisserie chicken without the skin, along with 240 grams of water to drink."
"['Pizza with meat and vegetables, from frozen, medium crust']",163.16,93.65,1791.24,73.21,USA,metric,"For dinner, I’m eating a 649-gram pizza from the freezer, loaded with meat and vegetables."
"['Pan Dulce, no topping', 'Orange juice, 100%, canned, bottled or in a carton']",100.09,9.4,521.96,10.530000000000001,USA,metric,"For my breakfast, I'm enjoying 76 grams of plain Pan Dulce and a 496-gram serving of orange juice."
"['Cherries, raw']",24.02,0.3,94.5,1.59,USA,metric,"For my snack, I’m eating 150 grams of cherries, and they’re raw."
"['Tortilla chips, plain', 'Water, tap']",38.63,11.79,269.04,4.05,USA,metric,"For a snack, I’ve got 57 grams of tortilla chips and 240 grams of tap water."
"['Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce', 'Rice, white, cooked, no added fat']",55.379999999999995,17.85,477.71999999999997,24.74,USA,metric,"For dinner, I had 249 grams of beef with vegetables like carrots and broccoli, cooked in a tomato-based sauce, along with 158 grams of cooked white rice."
['Bagel'],55.0,1.39,277.2,11.09,USA,metric,"I have a bagel, and it weighs 105 grams, for breakfast."
"['Peanut butter and jelly sandwich, frozen commercial product without crusts']",27.13,9.92,217.8,6.91,USA,metric,"For lunch, I'm having a frozen peanut butter and jelly sandwich without crusts that weighs 60 grams."
"['Chicken leg, drumstick and thigh, grilled with sauce, skin eaten']",14.2,24.02,427.05,36.35,USA,metric,"I had a 195-gram serving of grilled chicken leg, drumstick, and thigh with sauce for lunch, and I made sure to eat the skin."
"['Water, bottled, unsweetened', 'Egg omelet or scrambled egg, with meat, made with cooking spray', 'Tortilla, corn']",13.2,8.61,174.44,11.04,USA,metric,"For breakfast, I’m having 240 grams of bottled water, a 70-gram egg omelet with meat made using cooking spray, and a 28-gram corn tortilla."
['Whopper Jr (Burger King)'],28.51,12.95,291.6,14.5,USA,metric,"For lunch, I’ve got a 135-gram Whopper Jr from Burger King."
"['Tortilla chips, nacho cheese flavor (Doritos)', 'Soft drink, fruit flavored, caffeine free', 'Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on white bread']",106.60999999999999,26.810000000000002,711.06,15.290000000000001,USA,metric,"I’ve got a lunch spread that includes 30 grams of nacho cheese tortilla chips, a 372-gram fruit soda, and a 112-gram peanut butter and jelly sandwich."
"['Milk shake, fast food, chocolate', 'Yogurt, low fat milk, fruit']",91.71,27.849999999999998,664.46,17.96,USA,metric,"For my snack, I had a fast food chocolate milk shake that was 405 grams and some low-fat yogurt with fruit that weighed 64 grams."
"['Coffee creamer, liquid, flavored', 'Coffee, instant, reconstituted']",6.77,2.02,44.85,0.33999999999999997,USA,metric,I prepared a snack of 240 grams of reconstituted coffee and 15 grams of flavored coffee creamer.
"['SNICKERS Bar', 'Water, bottled, unsweetened']",35.06,13.59,279.87,4.29,USA,metric,I decided on a 57g SNICKERS Bar and a 600g bottle of water for a light snack.
"['Butterfinger', 'Cookie, chocolate chip']",45.88,13.440000000000001,304.95000000000005,3.45,USA,metric,I’ve got a 45g Butterfinger and a 20g chocolate chip cookie for my snack.
"['Chicken breast, fried, coated, skin / coating eaten, from pre-cooked', 'Hot pepper sauce']",12.55,25.87,436.83,36.059999999999995,USA,metric,I’ve got 175 grams of pre-cooked fried chicken breast and a side of 9 grams of hot pepper sauce for lunch.
"['Tortilla chips, other flavors (Doritos)']",18.24,8.23,155.7,2.21,USA,metric,I'm having 30 grams of Doritos tortilla chips for a snack.
