description,carb,fat,energy,protein,country,amount_type,queries
"['Soft drink, cola', 'Pizza with meat other than pepperoni, from frozen, thin crust']","[64.23, 86.34]","[1.55, 38.72]","[260.4, 854.4]","[0, 39.49]",USA,metric,Tonight’s dinner includes a 620-gram cola and a 320-gram meat pizza from the freezer on a thin crust.
"['Pasta with cream sauce, meat, and added vegetables, ready-to-heat']",[41.35],[20.55],[412.5],[15.18],USA,metric,"I’m eating 250 grams of pasta with cream sauce, meat, and vegetables that I just need to heat up for lunch."
"['Sausage on biscuit', 'Jelly, all flavors']","[35.09, 13.99]","[28.57, 0]","[434.07, 53.2]","[11.31, 0.03]",USA,metric,"For breakfast, I'm having a 117.0g sausage on a biscuit with 20.0g of jelly."
"['Potato chips, plain', 'Banana, raw']","[15.07, 28.78]","[9.51, 0.42]","[148.96, 112.14]","[1.79, 1.37]",USA,metric,I have a snack of 28 grams of plain potato chips and a 126-gram banana to munch on.
"['Veal Marsala', 'Wine, table, red']","[6.26, 4.7]","[8.22, 0]","[165.12, 153]","[15.99, 0.13]",USA,metric,I'm enjoying 96 grams of Veal Marsala along with 180 grams of red table wine for dinner.
"['Soft drink, fruit flavored, caffeine free', 'Nectarine, raw']","[37.72, 12.85]","[0.07, 0.39]","[148.8, 54.6]","[0.19, 1.48]",USA,metric,I’ve got a caffeine-free fruit soft drink that’s 372 grams along with a 140-gram raw nectarine for breakfast.
"['Peanut butter sandwich, with regular peanut butter, on white bread']",[36.65],[18.5],[353.28],[12.86],USA,metric,"I made a peanut butter sandwich with regular peanut butter on white bread, and it weighed 92 grams for lunch."
"['Water, tap', 'Orange, raw']","[0, 18.1]","[0, 0.18]","[0, 72.38]","[0, 1.45]",USA,metric,"For my snack, I poured myself 240 grams of tap water and grabbed a raw orange weighing 154 grams."
"['Coffee, brewed', 'Water, bottled, unsweetened']","[0, 0]","[0.05, 0]","[2.4, 0]","[0.29, 0]",USA,metric,I’ve got a snack that includes 240 grams of coffee and 240 grams of plain bottled water.
"['Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on white bread']",[25.32],[9.26],[203.28],[6.45],USA,metric,"I enjoyed a 56-gram peanut butter and jelly sandwich for lunch, using regular peanut butter and jelly on white bread."
"['Fruit mixture, frozen']",[16.65],[0.32],[66],[1.05],USA,metric,I’m snacking on 150 grams of a frozen fruit blend.
"['Lasagna with meat, home recipe']",[32.75],[27.28],[515],[34.08],USA,metric,I’m enjoying 250 grams of lasagna with meat that I made myself for lunch.
"['Yogurt, low fat milk, fruit']",[16.34],[1.55],[100.57],[5.27],USA,metric,"For breakfast, I had a serving of 113 grams of low-fat yogurt with fruit in it."
"['Water, tap', 'Nutrition bar (Clif Kids Organic Zbar)']","[0, 26.9]","[0, 3.5]","[0, 149.76]","[0, 2]",USA,metric,"For a snack, I'm having 240 grams of tap water and a 36-gram Clif Kids Organic Zbar."
"['Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on wheat bread']",[26.33],[6.64],[188.72],[7.58],USA,metric,I have a 56-gram peanut butter and jelly sandwich on wheat bread for breakfast.
"['Beer, light']",[7.87],[0],[139.2],[1.15],USA,metric,Having a light beer that weighs 480 grams for lunch.
"['Chicken wing, fried, coated, from fast food', 'Taco sauce', 'Chicken drumstick, fried, coated, skin / coating eaten, from fast food / restaurant']","[8.21, 0.06, 10.26]","[11.68, 0.06, 15.91]","[177.1, 0.99, 244.8]","[9.76, 0.1, 15.07]",USA,metric,"For a snack, I'm having a fried chicken wing coated from fast food, weighing 55 grams, with 9 grams of taco sauce on the side, and an 85-gram fried chicken drumstick, also from fast food."
"['Pasta with tomato-based sauce and meat, home recipe', 'Water, bottled, unsweetened']","[47.88, 0]","[6.45, 0]","[307.5, 0]","[14.65, 0]",USA,metric,"I'm enjoying 250 grams of my home recipe pasta with meat and tomato sauce for lunch, paired with 240 grams of bottled water."
"['Apple, raw', 'Water, bottled, unsweetened', 'Potato chips, plain']","[27.62, 0, 15.07]","[0.34, 0, 9.51]","[104, 0, 148.96]","[0.52, 0, 1.79]",USA,metric,"I have a 200-gram raw apple, 240 grams of bottled unsweetened water, and some plain potato chips weighing 28 grams for my snack."
['Vegetable curry with rice'],[32.86],[6.5],[204],[4.04],USA,metric,I'm eating 200 grams of vegetable curry with rice for lunch.
['Lentil curry with rice'],[37.14],[6.96],[234],[6.54],USA,metric,"For dinner, I'm having 200 grams of lentil curry with rice."
"['Ice cream cone, vanilla, prepackaged']",[32.66],[20.79],[336.3],[4.95],USA,metric,"For a snack, I'm enjoying a prepackaged vanilla ice cream cone that weighs 95 grams."
"['Cantaloupe, raw']",[12.65],[0.28],[52.7],[1.27],USA,metric,"I’ve got some raw cantaloupe, weighing 155 grams, for my snack."
"['Pizza, cheese, from restaurant or fast food, thin crust']",[26.83],[12],[259.72],[11.05],USA,metric,I’ve got a serving of thin crust cheese pizza weighing 86 grams for my dinner.
"['Orange juice, 100%, canned, bottled or in a carton', 'Bagel, multigrain']","[42.93, 51.33]","[0.45, 1.61]","[182.28, 262.5]","[2.53, 10.71]",USA,metric,I’m starting my day with a bagel that weighs 105 grams and a carton of orange juice at 372 grams.
"['Sugar substitute, sucralose, powder', 'Coffee, brewed']","[0.91, 0]","[0, 0.12]","[3.36, 6]","[0, 0.72]",USA,metric,I'm sipping on 600 grams of brewed coffee with a touch of 1 gram of sucralose powder for my snack.
"['Milk, reduced fat (2%)', 'Orange chicken']","[11.98, 56.6]","[4.64, 31.95]","[122, 660.24]","[8.17, 36.44]",USA,metric,I'm eating 244 grams of 2% milk alongside 252 grams of orange chicken for lunch.
"['Milk, reduced fat (2%)', 'Peanut butter sandwich, with regular peanut butter, on white bread']","[11.98, 36.65]","[4.64, 18.5]","[122, 353.28]","[8.17, 12.86]",USA,metric,"For dinner, I'm having a 244-gram glass of reduced fat milk and a 92-gram peanut butter sandwich made with regular peanut butter on white bread."
"['Apple juice, 100%', 'Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on wheat bread']","[23.62, 48.38]","[0.27, 18.74]","[96.14, 402.08]","[0.21, 14.07]",USA,metric,My lunch consists of a 112-gram peanut butter and jelly sandwich on wheat bread paired with 209 grams of 100% apple juice.
['Chicken or turkey with dumplings'],[19.4],[13.4],[351.36],[38.16],USA,metric,"I made chicken or turkey with dumplings for dinner, and I've got 244 grams of it."
"['Macaroni or noodles with cheese, made from packaged mix']",[50.99],[18.33],[409.4],[10.67],USA,metric,I'm eating 230 grams of mac and cheese from a packaged mix for dinner.
"['Coffee, Iced Cafe Mocha']",[22.2],[2.26],[124],[3.92],USA,metric,I’m enjoying 248 grams of iced cafe mocha coffee for a snack.
"['Chili con carne with chicken or turkey and beans', 'Cream, half and half', 'Yogurt, Greek, nonfat milk, flavors other than fruit', 'Coffee, brewed']","[18.69, 0.64, 17.63, 0]","[6.78, 1.72, 0.31, 0.05]","[213.36, 19.65, 132.6, 2.4]","[21.39, 0.47, 14.69, 0.29]",USA,metric,"I have a bowl of chili con carne with chicken or turkey and beans, weighing 254 grams, paired with 15 grams of half and half. I'm also enjoying 170 grams of Greek yogurt and 240 grams of brewed coffee."
"['Water, baby, bottled, unsweetened', 'Brussels sprouts, frozen, cooked, no added fat']","[0, 12.86]","[0, 0.6]","[0, 65.1]","[0, 5.63]",USA,metric,"For a snack, I have 240 grams of unsweetened bottled baby water and 155 grams of cooked frozen Brussels sprouts."
['SNICKERS Bar'],[5.54],[2.15],[44.19],[0.68],USA,metric,I grabbed a 9g SNICKERS Bar to snack on.
"['Crackers, butter (Ritz)']",[27.58],[11.89],[229.5],[2.99],USA,metric,"For my snack, I'm enjoying 45 grams of Ritz butter crackers."
"['Soft drink, fruit flavored, caffeine free']",[37.72],[0.07],[148.8],[0.19],USA,metric,"For my snack, I’m having a 372g soft drink that’s fruit flavored and caffeine free."
['Kit Kat'],[6.46],[2.6],[51.8],[0.65],USA,metric,I grabbed a 10g Kit Kat for a quick snack.
"['Soft drink, cola, diet']",[1.04],[0.11],[7.2],[0.4],USA,metric,I’ve got a 360g can of diet cola for my snack.
"['Turkey or chicken sausage', 'Bread, whole wheat, made from home recipe or purchased at bakery, toasted', 'Egg, whole, fried with oil', 'Grits, instant, made with water, no added fat', 'Milk, low fat (1%)']","[0.22, 20.85, 0.37, 21.96, 12.66]","[2.45, 1.79, 8.46, 0.59, 2.32]","[39.8, 108.8, 105.05, 96.2, 104.92]","[3.93, 4.06, 6.44, 2.04, 8.25]",USA,metric,"For breakfast, I had 20 grams of turkey sausage, 40 grams of toasted whole wheat bread, a fried egg weighing 55 grams, 148 grams of instant grits made with water, and a glass of 244 grams of 1% low-fat milk."
"['Water, tap', 'Cereal or granola bar, fruit and nut', 'Iced Coffee, brewed']","[0, 17.72, 0]","[0, 12.76, 0.05]","[0, 194.8, 2.4]","[0, 5.48, 0.22]",USA,metric,"I’ve got a snack that includes 240 grams of water, a 40-gram cereal bar with fruit and nuts, and 240 grams of iced coffee."
"['Muffin, English', 'Cheese, American', 'Egg omelet or scrambled egg, NS as to fat', 'Jelly, all flavors', 'Pork bacon, NS as to fresh, smoked or cured, cooked']","[25.62, 1.86, 0.37, 13.99, 0.2]","[0.98, 4.84, 8.01, 0, 4.21]","[131.66, 64.47, 101.2, 53.2, 56.16]","[5.14, 3.38, 6.45, 0.03, 4.07]",USA,metric,"For lunch, I'm having an English muffin (58.0g) with American cheese (21.0g), a cooked egg omelet (55.0g), some jelly (20.0g), and a serving of pork bacon (12.0g)."
"['Chicken drumstick, grilled with sauce, skin eaten', 'Fruit juice drink (Capri Sun)', 'Water, bottled, unsweetened', 'Banana pudding']","[4.73, 18.6, 0, 53.09]","[6.6, 0.13, 0, 8.04]","[130, 72.54, 0, 296.4]","[12.14, 0, 0, 5.09]",USA,metric,"I have a 65-gram grilled chicken drumstick with sauce, along with a 186-gram Capri Sun juice drink, 507 grams of bottled water, and 190 grams of banana pudding for my snack."
"['Potato chips, reduced fat', 'Turkey submarine sandwich, with cheese, lettuce, tomato and spread']","[18.8, 58.29]","[5.77, 6.01]","[134.96, 382.2]","[1.97, 23.71]",USA,metric,"I’m enjoying 28 grams of reduced-fat potato chips along with a 260-gram turkey submarine sandwich that has cheese, lettuce, tomato, and spread for lunch."
"['Water, bottled, unsweetened', 'Almond milk, unsweetened']","[0, 3.2]","[0, 2.34]","[0, 36.6]","[0, 0.98]",USA,metric,"For my snack, there's 240 grams of unsweetened bottled water and 244 grams of unsweetened almond milk."
"['Soft drink, cola, fruit or vanilla flavored', 'Cookie, butter or sugar']","[38.54, 20.2]","[0.93, 5.86]","[156.24, 139.2]","[0, 1.6]",USA,metric,"For a snack, I'm having 372 grams of fruit-flavored cola and a 30-gram butter cookie."
"['Nutritional drink or shake, ready-to-drink (Boost)']",[44.29],[4.33],[258.56],[10.8],USA,metric,I’ve got a 256g ready-to-drink Boost shake for my breakfast.
"['Soft drink, fruit flavored, caffeine free', 'Potato chips, ruffled, barbecue flavored']","[37.72, 31.87]","[0.07, 17.7]","[148.8, 277.59]","[0.19, 3.71]",USA,metric,I’m enjoying a snack of 372 grams of a fruit-flavored soft drink and 57 grams of barbecue potato chips.
"['Ice cream, chocolate']",[67.68],[26.4],[518.4],[9.12],USA,metric,I’m having 240 grams of chocolate ice cream for a snack.
"['Chicken breast, grilled without sauce, skin not eaten', 'Green beans, canned, reduced sodium, cooked, no added fat']","[0, 6.05]","[6.54, 0.64]","[211.2, 30.8]","[35.54, 1.57]",USA,metric,"For breakfast, I have 120 grams of grilled chicken breast and 140 grams of green beans that are canned and low in sodium."
"['Cheese, Cheddar']",[2.76],[38.42],[461.04],[26.33],USA,metric,I’m starting my day with 113 grams of cheddar cheese for breakfast.
['Energy drink (Monster)'],[55.95],[0],[233.12],[2.33],USA,metric,I’m starting my day with a 496-gram can of Monster energy drink.
"['Popcorn, microwave, butter flavored']",[47.59],[26.41],[457.3],[7.39],USA,metric,I’m snacking on 85 grams of microwave popcorn that's butter flavored.
"['Banana, raw', 'Breakfast tart']","[28.78, 38.79]","[0.42, 4.87]","[112.14, 207.9]","[1.37, 2.17]",USA,metric,"For breakfast, I'm having a 126-gram raw banana along with a 54-gram breakfast tart."
"['Chicken or turkey noodle soup, reduced sodium, canned or ready-to-serve', 'Soft drink, fruit flavored, caffeine containing, diet']","[20.43, 0]","[7.13, 0]","[218.12, 0]","[17.5, 0.36]",USA,metric,"I have a can of chicken or turkey noodle soup, weighing 532 grams, and I'm drinking a 360-gram diet fruit-flavored soda for lunch."
"['Banana, raw', 'Apple, raw']","[28.78, 22.79]","[0.42, 0.28]","[112.14, 85.8]","[1.37, 0.43]",USA,metric,I’ve got a 126-gram banana and a 165-gram apple for my snack.
['Nutrition bar (Clif Bar)'],[44.5],[4],[235.28],[10],USA,metric,"For lunch, I'm having a Clif Bar that weighs 68 grams."
"['Popcorn, ready-to-eat packaged, cheese flavored', 'Soft drink, fruit flavored, caffeine free']","[29.41, 37.72]","[18.92, 0.07]","[299.82, 148.8]","[5.3, 0.19]",USA,metric,I'm enjoying a snack of 57 grams of cheese-flavored popcorn and a 372-gram serving of fruit-flavored soft drink.
['Freezer pop'],[9.62],[0.12],[39.5],[0],USA,metric,"For my snack, I'm having a 50g freezer pop."
"['Cereal or granola bar, with yogurt coating (General Mills Nature Valley Chewy Granola Bar)', 'Potato chips, restructured, flavored']","[26, 11.01]","[4, 7.01]","[148.05, 108.4]","[2, 0.92]",USA,metric,"For a snack, I'm having a 35g Nature Valley Chewy Granola Bar with yogurt coating and 20g of flavored potato chips."
"['Potato chips, other flavored']",[31.87],[17.7],[277.59],[3.71],USA,metric,I decided to snack on 57 grams of flavored potato chips.
"['Milk, reduced fat (2%)', 'Coffee, brewed']","[1.5, 0]","[0.58, 0.1]","[15.25, 4.8]","[1.02, 0.58]",USA,metric,I have 30.5 grams of milk and 480 grams of coffee for my snack.
"['Peanut butter sandwich, with regular peanut butter, on whole wheat bread']",[34.39],[18.74],[349.6],[14.04],USA,metric,"For dinner, I'm having a peanut butter sandwich made with regular peanut butter on whole wheat bread, weighing 92 grams."
"['Milk, reduced fat (2%)', 'Pizza, cheese, from school lunch, medium crust', 'Tortilla chips, cool ranch flavor (Doritos)']","[11.98, 43.66, 18.88]","[4.64, 12.63, 5.76]","[122, 367.5, 131.6]","[8.17, 20.09, 1.98]",USA,metric,"At lunch, I have 244 grams of 2% milk, a medium slice of cheese pizza from school lunch that weighs 147 grams, and 28 grams of Cool Ranch-flavored tortilla chips."
"['Grapes, raw', 'Water, tap']","[27.15, 0]","[0.24, 0]","[103.5, 0]","[1.08, 0]",USA,metric,I'm enjoying 150 grams of raw grapes along with 240 grams of tap water for my lunch.
"['Bread, whole wheat, toasted']",[15.63],[1.29],[92.07],[4.46],USA,metric,"For breakfast, I'm having 33 grams of toasted whole wheat bread."
"['Chicken fillet sandwich, fried, from fast food', 'Potato, french fries, fast food', 'Soft drink, fruit flavored, caffeine free']","[38.47, 60.09, 51.92]","[18.84, 21.36, 0.1]","[393.4, 452.4, 204.8]","[17.04, 4.97, 0.26]",USA,metric,"For lunch, I'm having a 140-gram fried chicken fillet sandwich from fast food, along with 145 grams of french fries and a 512-gram serving of caffeine-free fruit-flavored soft drink."
"['Biscuit, NFS', 'Pork sausage', 'Orange juice, 100%, canned, bottled or in a carton']","[19.27, 0.5, 14.31]","[8.51, 9.54, 0.15]","[166.5, 113.75, 60.76]","[3.19, 6.49, 0.84]",USA,metric,"For breakfast, I'm having a 45-gram biscuit, 35 grams of pork sausage, and 124 grams of 100% orange juice."
"['Sausage, NFS', 'Soft drink, fruit flavored, diet, caffeine free', 'Cheese, American', 'Muffin, English', 'Egg omelet or scrambled egg, from fast food / restaurant']","[0.5, 0, 1.86, 25.62, 0.37]","[9.54, 0, 4.84, 0.98, 8.46]","[113.75, 0, 64.47, 131.66, 105.05]","[6.49, 0.36, 3.38, 5.14, 6.44]",USA,metric,"For breakfast, I’m enjoying 35 grams of sausage, a 360-gram diet fruit-flavored soft drink, 21 grams of American cheese, an English muffin at 58 grams, and a fast food scrambled egg that weighs 55 grams."
"['Soft drink, cola', 'Burrito with meat, beans, and rice']","[38.54, 84.83]","[0.93, 52.15]","[156.24, 1017.02]","[0, 50.61]",USA,metric,"My lunch consists of a 372-gram soft drink and a burrito with meat, beans, and rice that weighs 482 grams."
"['Nutritional drink or shake, ready-to-drink, NFS']",[41.86],[6.27],[260.4],[9.42],USA,metric,I’ve got a 248-gram nutritional drink for my snack.
"['Nutritional drink or shake, ready-to-drink (Boost)', 'Muffin, wheat bran']","[44.29, 70.16]","[4.33, 10.48]","[258.56, 387]","[10.8, 11.23]",USA,metric,I’ve got a 256-gram Boost shake and a wheat bran muffin weighing 180 grams for breakfast.
"['Coffee, brewed']",[0],[0.05],[2.4],[0.29],USA,metric,I made myself a 240-gram serving of brewed coffee for breakfast.
"['Soft drink, root beer']",[65.72],[0],[254.2],[0],USA,metric,I'm having a 620g soft drink of root beer for a little pick-me-up snack.
"['Cookie, marshmallow, with rice cereal, no bake', 'Nachos with meat and cheese', 'Onion flavored rings', 'Sports drink (Powerade)']","[30.59, 46.64, 18.23, 48.61]","[3.42, 32.78, 6.33, 0.31]","[158.46, 618.32, 139.72, 198.4]","[1.29, 35.42, 2.16, 0]",USA,metric,"I’ve got a lunch spread that includes a 38-gram no-bake marshmallow cookie, 262 grams of nachos loaded with meat and cheese, 28 grams of onion rings, and a big 620-gram sports drink, Powerade."
"['Wine, table, white']",[4.68],[0],[147.6],[0.13],USA,metric,I'm sipping on 180 grams of white wine for my snack.
"['Popcorn, microwave, plain']",[47.59],[26.41],[457.3],[7.39],USA,metric,"I made some plain microwave popcorn, and I'm snacking on 85 grams of it."
"['Ice cream sandwich, vanilla']",[26.91],[8.85],[198],[3.21],USA,metric,I’m enjoying a 75g vanilla ice cream sandwich as a snack.
"['Breakfast bar, NFS', 'Coffee creamer, liquid, sugar free, flavored', 'Coffee, brewed', 'Egg, cheese, and sausage on English muffin']","[31.3, 1.36, 0, 27.73]","[3.22, 0.52, 0.07, 28.78]","[161.68, 10.65, 3.6, 454.74]","[1.89, 0.12, 0.43, 21.27]",USA,metric,"I enjoyed a breakfast bar weighing 43 grams, along with a brewed coffee of 360 grams and an egg, cheese, and sausage on an English muffin that was 159 grams. I also added 15 grams of liquid sugar-free flavored coffee creamer."
"['Water, tap', 'Cookie, chocolate chip']","[0, 19.61]","[0, 7.42]","[0, 147.6]","[0, 1.53]",USA,metric,I’m enjoying a chocolate chip cookie that weighs 30 grams with 240 grams of tap water for a snack.
"['Chicken fillet sandwich, from school cafeteria', 'Apple, raw']","[27.42, 27.62]","[7.42, 0.34]","[230.92, 104]","[13.45, 0.52]",USA,metric,I enjoyed a chicken fillet sandwich weighing 92 grams and paired it with a 200-gram raw apple for dinner.
"['Energy drink, sugar-free (Red Bull)']",[2.52],[0.29],[18],[0.9],USA,metric,I’m having a 360g sugar-free Red Bull energy drink for breakfast.
"['Cheese, Mozzarella, part skim', 'Potato chips, plain']","[1.26, 15.07]","[5.78, 9.51]","[84.48, 148.96]","[6.72, 1.79]",USA,metric,I'm having 28 grams of plain potato chips and a serving of part-skim mozzarella cheese that weighs 28.35 grams for a snack.
"['Apple, raw', 'Tea, hot, leaf, green, decaffeinated', 'Cucumber, raw']","[27.62, 0, 7.26]","[0.34, 0, 0.22]","[104, 0, 30]","[0.52, 0, 1.3]",USA,metric,"For my snack, I have 200 grams of a raw apple, 360 grams of hot green tea that's decaffeinated, and 200 grams of cucumber."
"['Soft drink, cola', 'Whopper with cheese (Burger King)']","[64.23, 51.42]","[1.55, 45.82]","[260.4, 777.2]","[0, 39.7]",USA,metric,I’m starting my day with a 290g Whopper with cheese and a 620g cola soft drink.
"['Snack cake, not chocolate, with icing or filling']",[23.69],[4.27],[138.38],[1.28],USA,metric,"For my snack, I have 37 grams of non-chocolate snack cake with icing or filling."
"['Doughnut, cake type, powdered sugar']",[33.23],[14.96],[280.15],[3.18],USA,metric,"This morning, I’m enjoying a 65-gram doughnut covered in powdered sugar."
"['Coffee creamer, liquid, sugar free, flavored', 'Coffee, instant, reconstituted']","[2.73, 1.51]","[1.05, 0]","[21.3, 7.2]","[0.24, 0.24]",USA,metric,"This morning, I mixed 30 grams of liquid sugar-free creamer into 240 grams of instant coffee."
"['Peach, raw']",[15.15],[0.4],[63],[1.36],USA,metric,"For a snack, I'm eating a peach that weighs 150 grams."
"['Baked beans', 'Cheese, American', 'Frankfurter or hot dog, beef']","[56.08, 1.86, 1.73]","[2.31, 4.84, 16.8]","[273, 64.47, 188.67]","[11.75, 3.38, 7.02]",USA,metric,"For dinner, I have a serving of baked beans (260 grams), a beef hot dog (57 grams), and 21 grams of American cheese on top."
"['Soft drink, pepper type', 'Frankfurter or hot dog, turkey']","[38.54, 2.29]","[0.93, 10.37]","[156.24, 133.95]","[0, 7.34]",USA,metric,"For lunch, I have a 372-gram soft drink and a 57-gram turkey hot dog."
"['Ice cream, chocolate, with additional ingredients', 'Water, bottled, unsweetened']","[85.98, 0]","[29.4, 0]","[622.5, 0]","[9.82, 0]",USA,metric,I'm enjoying a snack of 250 grams of chocolate ice cream and 507 grams of unsweetened bottled water.
"['Coffee, brewed', 'Chicken or turkey salad, made with mayonnaise']","[0, 6.33]","[0.05, 42.4]","[2.4, 531.1]","[0.29, 31.57]",USA,metric,"I'm enjoying a brewed coffee and a chicken salad with mayonnaise, weighing 240 grams and 226 grams respectively."
"['Candy, NFS', 'Pretzels, hard, plain, salted']","[29.4, 2.41]","[0.06, 0.09]","[118.2, 11.52]","[0, 0.3]",USA,metric,I have 30 grams of candy and 3 grams of hard salted pretzels for my snack.
"['Corn chips, flavored (Fritos)']",[48.43],[28.21],[455.6],[5.22],USA,metric,"I'm munching on 85 grams of flavored corn chips, which are Fritos, as a quick snack."
"['Yogurt parfait, low fat, with fruit', 'Sugar, white, granulated or lump', 'Cream, half and half', 'Coffee, brewed, decaffeinated']","[23.79, 3.49, 1.29, 0]","[1.52, 0.01, 3.45, 0]","[126, 13.48, 39.3, 0]","[5.04, 0, 0.94, 0.48]",USA,metric,"I started my day with a yogurt parfait, weighing 150 grams, sweetened with 3.5 grams of sugar and mixed with 30 grams of half-and-half. I washed it down with 480 grams of decaffeinated coffee."
"['Lentils, from dried, fat added', 'Rice, white, with other vegetables, fat added']","[34.61, 38.94]","[12.69, 4.15]","[305.25, 211.56]","[15.5, 3.96]",USA,metric,"I'm having a dinner of lentils, weighing 185 grams with fat added, and 172 grams of white rice that includes vegetables and fat."
"['Corn pone, baked']",[24.2],[2.63],[130.54],[2.13],USA,metric,I'm having 61 grams of baked corn pone as a snack.
"['Croissant', 'Milk, reduced fat (2%)']","[26.11, 11.98]","[11.97, 4.64]","[231.42, 122]","[4.67, 8.17]",USA,metric,I’ve got a croissant weighing 57 grams and 244 grams of 2% milk for breakfast.
"['Tomatoes, raw', 'Fish sandwich, fried, from fast food, with cheese', 'Potato, french fries, fast food', 'Water, bottled, unsweetened', 'Tartar sauce']","[4.86, 34.29, 60.09, 0, 1.86]","[0.25, 16.59, 21.36, 0, 2.34]","[22.5, 385.05, 452.4, 0, 29.54]","[1.1, 23.1, 4.97, 0, 0.14]",USA,metric,"For lunch, I'm having 125 grams of raw tomatoes with a fried fish sandwich that has cheese, weighing 151 grams. I've also got 145 grams of fast food french fries, 240 grams of bottled water, and 14 grams of tartar sauce on the side."
"['Doughnut, yeast type']",[28.76],[13.62],[252.6],[3.68],USA,metric,"For breakfast, I’m enjoying a 60-gram yeast doughnut."
"['Potato, french fries, fast food']",[74.59],[26.51],[561.6],[6.17],USA,metric,"For a snack, I'm having 180 grams of fast food french fries."
"['Cheese, Mozzarella, part skim', 'Apple, raw']","[1.26, 33.42]","[5.78, 0.41]","[84.48, 125.84]","[6.72, 0.63]",USA,metric,"For a snack, I'm having 28.35 grams of part-skim mozzarella cheese and a raw apple weighing 242 grams."
"['Pear, raw', 'Water, bottled, unsweetened']","[27.41, 0]","[0.25, 0]","[102.6, 0]","[0.65, 0]",USA,metric,"For a snack, I'm having a 180g raw pear and 240g of bottled unsweetened water."
"['Coffee creamer, liquid', 'Coffee, brewed']","[3.41, 0]","[2.99, 0.1]","[40.8, 4.8]","[0.3, 0.58]",USA,metric,I prepared a snack with brewed coffee weighing 480 grams and added 30 grams of liquid coffee creamer.
"['Oatmeal, instant, maple flavored, no added fat']",[32.97],[2.04],[166.26],[3.98],USA,metric,"For breakfast today, it's 163 grams of instant oatmeal, and it's maple-flavored."
"['Crackers, sandwich, cheese filled (Ritz)', 'Water, bottled, unsweetened']","[25.22, 0]","[11.29, 0]","[215.55, 0]","[3.45, 0]",USA,metric,I have a simple lunch today with 45 grams of cheese-filled sandwich crackers and a bottle of 240 grams of water.
"['Breadsticks, soft, from frozen', 'Pasta with sauce, meatless, school lunch', 'Chocolate milk, NFS']","[18.55, 48.6, 33.38]","[3.66, 4, 0]","[125.6, 255, 166.16]","[4.44, 9.45, 8.41]",USA,metric,"I have a lunch of 40 grams of breadsticks, 250 grams of meatless pasta with sauce, and a serving of 248 grams of chocolate milk."
"['Ice cream, vanilla, with additional ingredients']",[42.71],[16.46],[338.8],[5.14],USA,metric,"For my snack, I decided on 140 grams of vanilla ice cream with some toppings or mix-ins."
"[""Reese's Peanut Butter Cup""]",[24.91],[13.74],[231.75],[4.61],USA,metric,I grabbed a 45g Reese's Peanut Butter Cup to snack on.
"['Peach, raw', 'Energy Drink']","[15.15, 50.74]","[0.4, 0]","[63, 213.28]","[1.36, 2.28]",USA,metric,"For my brunch, I’ve got a 150g raw peach and an energy drink weighing 496g."
"['Sausage and cheese on English muffin', 'Potato, hash brown, from fast food', 'Coffee, brewed']","[28.82, 15.88, 0]","[23.56, 9.37, 0.12]","[385.32, 149.6, 6]","[15.14, 1.42, 0.72]",USA,metric,"This morning, I’m eating a 114g sausage and cheese English muffin, 55g of hash browns, and drinking 600g of brewed coffee."
"['Cheeseburger, from school cafeteria', 'Chocolate milk, NFS']","[23.87, 33.38]","[8.64, 0]","[253, 166.16]","[18.89, 8.41]",USA,metric,"For lunch, I have a 100g cheeseburger and 248g of chocolate milk to drink."
"['Apple, raw', 'Water, bottled, unsweetened', 'Roll, sweet, cinnamon bun, frosted']","[22.79, 0, 32.08]","[0.28, 0, 17.56]","[85.8, 0, 298.32]","[0.43, 0, 2.94]",USA,metric,"I have a 165-gram raw apple, 507 grams of bottled unsweetened water, and a 66-gram sweet frosted cinnamon bun for my snack."
"['Bread, white, toasted', 'Milk, reduced fat (2%)', 'Egg omelet or scrambled egg, NS as to fat type']","[13.52, 11.98, 0.37]","[0.98, 4.64, 8.01]","[74.25, 122, 101.2]","[2.59, 8.17, 6.45]",USA,metric,"For breakfast, I'm having 25 grams of toasted white bread, 244 grams of reduced-fat milk, and a scrambled egg that weighs 55 grams."
"['Milk chocolate candy, plain']",[4.75],[2.37],[42.8],[0.61],USA,metric,I’ve got 8 grams of plain milk chocolate candy for my snack.
"['Pizza with meat and fruit, thin crust', 'Water, tap']","[19.73, 0]","[8.98, 0]","[197.34, 0]","[9.34, 0]",USA,metric,"Dinner consisted of 78 grams of thin crust pizza with meat and fruit, plus 240 grams of tap water."
"['Coffee, brewed', 'Coffee creamer, liquid, flavored']","[0, 10.52]","[0.1, 4.05]","[4.8, 75.3]","[0.58, 0.21]",USA,metric,"I’m starting my day with some brewed coffee and a splash of flavored creamer, weighing in at 480 grams and 30 grams respectively."
"['Coffee, cafe con leche', 'Sugar, white, granulated or lump']","[13.99, 3.49]","[2.63, 0.01]","[94.24, 13.48]","[4.14, 0]",USA,metric,"For dinner, I'm having a cafe con leche with 248 grams of coffee and 3.5 grams of sugar."
